Event,ExecTime(ms),VectorSize,Device
Enqueue Kernel Exec Time,5528,33554432,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,56.5488,33554432,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,1092.48,33554432,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,13664.7,67108864,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,254.024,67108864,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,11097.5,67108864,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,110.65,67108864,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,2202.02,67108864,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,28074.6,134217728,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,513.033,134217728,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,22887.8,134217728,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,234.559,134217728,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,4438.71,134217728,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,54617.3,268435456,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,1024.39,268435456,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,44354,268435456,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,361.141,268435456,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,8877.41,268435456,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,113165,536870912,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2077.13,536870912,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,92578.1,536870912,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,754.906,536870912,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,17754.8,536870912,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,6.0257,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.494858,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.391168,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004673,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.036895,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1.05825,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.462679,2048,NVIDIA GeForce RTX 2080 Ti
