Event,ExecTime(ms),VectorSize
Total Exec Time,3.84469,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.42847,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.256225,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.005793,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.0512,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.41386,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.95581,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.260095,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.005344,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.051199,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.42706,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.87202,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.260095,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.008769,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.055295,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.08392,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.66498,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.256288,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.007231,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.052543,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.9931,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.58011,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.257248,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004577,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.051553,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.251,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.79384,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.259041,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.005633,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.051201,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.54443,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.07808,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.26928,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.00416,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.051839,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.41182,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.88914,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.258049,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.008191,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.053311,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.57707,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.05176,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.260416,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.008192,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.053247,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.09633,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.68225,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.256,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.005376,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.051201,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.61253,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.05111,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.260095,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.012321,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.053855,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.11954,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.70471,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.256896,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.005025,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.05168,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.03979,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.6258,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.257407,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.005537,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.0512,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.05282,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.63824,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.257761,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.005695,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.052735,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.55624,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.98943,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.260095,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.012289,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.054272,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.93701,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.52138,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.25648,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004128,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.051553,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.36036,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.94543,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.256768,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.00496,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.051584,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.24753,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.78868,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.26128,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.006143,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.051744,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.09437,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.67996,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.256,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004193,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.051393,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.40508,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.93759,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.260097,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004223,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.052545,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.42617,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.98087,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.256,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.005536,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.052768,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.30017,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.86717,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.256768,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.005537,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.051745,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.06359,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.6456,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.256543,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.006145,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.051616,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.14043,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.72722,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.256,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004447,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.052865,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.73618,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.02024,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.509377,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004896,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.09888,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.76568,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.00224,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.513408,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.007361,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.100224,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.60931,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.89398,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.508736,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004096,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.100063,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,5.03672,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,4.31841,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.509567,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.006145,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.099521,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.82681,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.02902,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.510848,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.008159,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.101377,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.6298,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.82632,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.510624,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.008575,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.100927,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.83325,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.07461,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.512928,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004096,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.099552,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.25485,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.53999,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.509631,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.006016,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.099969,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.34269,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.62797,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.508576,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004831,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.099232,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.71625,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.9985,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.509761,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004096,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.099711,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.28266,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.55801,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.509727,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.005921,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.110273,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.61143,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.88981,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.509632,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004799,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.100352,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.65655,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.93066,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.509952,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.005663,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.099744,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.56927,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.85259,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.508897,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004769,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.099168,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.80782,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.05014,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.513536,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004448,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.099648,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.68534,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.9676,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.509344,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004479,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.099648,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.92894,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.16167,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.513824,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.005888,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.100352,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.52175,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.72343,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.510431,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.008193,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.101953,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.80935,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.04904,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.512065,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004672,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.099745,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.09369,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.37381,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.509952,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.006144,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.099551,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.62718,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.86982,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.512127,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004448,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.100096,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.2507,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.52968,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.509345,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.00416,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.099808,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.81148,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.05522,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.512,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004512,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.099584,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.28032,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.56687,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.508672,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.00432,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.100223,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.86539,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.14677,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.509633,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.00512,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.100064,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.84957,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.11261,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.508895,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.005344,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.099297,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.57016,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.79503,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.512512,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004096,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.098817,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.35039,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.63164,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.509952,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.006529,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.099199,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.60733,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.89312,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.509856,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.005984,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.100352,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.71613,2048,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.89057,2048,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,0.513761,2048,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.006016,2048,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.100353,2048,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,4.24568,4096,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.88298,4096,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1.01779,4096,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.005408,4096,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.195585,4096,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.99885,4096,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.67565,4096,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1.01389,4096,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.005312,4096,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.194561,4096,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,4.36347,4096,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.97592,4096,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1.01376,4096,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.011391,4096,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.196608,4096,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,4.13795,4096,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.81891,4096,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1.01446,4096,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.005312,4096,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.195873,4096,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,4.01062,4096,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.69473,4096,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1.01546,4096,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004416,4096,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.195264,4096,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,4.0825,4096,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.76175,4096,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1.01443,4096,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.006143,4096,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.19504,4096,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,4.30248,4096,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.97965,4096,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1.01526,4096,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.005055,4096,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.195744,4096,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,4.36747,4096,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.051,4096,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1.01376,4096,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004191,4096,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.195264,4096,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,5.04147,4096,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.72576,4096,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1.01539,4096,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004704,4096,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.196064,4096,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,4.27808,4096,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.95809,4096,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1.01434,4096,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004737,4096,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.195103,4096,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,4.36891,4096,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.00818,4096,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1.01786,4096,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.006145,4096,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.195103,4096,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,4.43024,4096,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.06448,4096,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1.01786,4096,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.006144,4096,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.195743,4096,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,4.05402,4096,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.73827,4096,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1.01526,4096,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.004704,4096,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.195616,4096,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,4.27878,4096,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.95842,4096,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,1.01453,4096,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,0.005184,4096,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,0.19456,4096,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,5.16655,4096,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.84967,4096,NVIDIA GeForce RTX 2080 Ti
