Event,ExecTime(ms),VectorSize,Device
Kernel Exec Time,0.742881,131072,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.42361,262144,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,1.04089,262144,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,1.35946,262144,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,4.22942,524288,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.08238,524288,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,2.11274,524288,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,8.38817,1048576,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,4.28205,1048576,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,4.08048,1048576,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,16.654,2097152,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,8.67045,2097152,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,7.95238,2097152,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,35.3225,4194304,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,19.9583,4194304,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,15.3137,4194304,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,68.2221,8388608,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,38.7266,8388608,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,29.4435,8388608,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,125.059,16777216,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,79.8566,16777216,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,45.1515,16777216,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,232.872,33554432,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,156.659,33554432,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,76.1631,33554432,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,443.529,67108864,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,305.518,67108864,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,137.959,67108864,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,852.412,134217728,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,595.307,134217728,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,256.99,134217728,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1645.9,268435456,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,1161.46,268435456,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,484.387,268435456,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3218.25,536870912,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2291.23,536870912,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,926.896,536870912,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.11114,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,0.086727,1024,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.520704,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,0.209165,2048,NVIDIA GeForce RTX 2080 Ti
