Event,ExecTime(ms),VectorSize,WorkGroupSize
Kernel Exec Time,0.010144,1024,32
Total Exec Time,2.6353,1024,32
Memory Setup Time,2.57003,1024,32
Kernel Exec Time,0.009024,1024,32
Total Exec Time,2.98162,1024,32
Memory Setup Time,2.83651,1024,32
Kernel Exec Time,0.013952,1024,32
Total Exec Time,3.12741,1024,32
Memory Setup Time,3.06146,1024,32
Kernel Exec Time,0.009152,1024,32
Total Exec Time,2.53853,1024,32
Memory Setup Time,2.4717,1024,32
Kernel Exec Time,0.009984,1024,32
Total Exec Time,3.11575,1024,32
Memory Setup Time,3.00102,1024,32
Kernel Exec Time,0.009919,1024,32
Total Exec Time,2.68907,1024,32
Memory Setup Time,2.62289,1024,32
Kernel Exec Time,0.010239,1024,32
Total Exec Time,2.93915,1024,32
Memory Setup Time,2.79397,1024,32
Kernel Exec Time,0.014335,1024,32
Total Exec Time,2.89155,1024,32
Memory Setup Time,2.82551,1024,32
Kernel Exec Time,0.009952,1024,32
Total Exec Time,2.91248,1024,32
Memory Setup Time,2.76715,1024,32
Kernel Exec Time,0.0128,1024,32
Total Exec Time,2.56418,1024,32
Memory Setup Time,2.49763,1024,32
Kernel Exec Time,0.010239,1024,32
Total Exec Time,2.66155,1024,32
Memory Setup Time,2.59485,1024,32
Kernel Exec Time,0.009888,1024,32
Total Exec Time,2.39873,1024,32
Memory Setup Time,2.33189,1024,32
Kernel Exec Time,0.008993,1024,32
Total Exec Time,2.73467,1024,32
Memory Setup Time,2.66651,1024,32
Kernel Exec Time,0.010209,1024,32
Total Exec Time,2.97002,2048,32
Memory Setup Time,2.90338,2048,32
Kernel Exec Time,0.010047,2048,32
Total Exec Time,2.6502,2048,32
Memory Setup Time,2.58419,2048,32
Kernel Exec Time,0.010241,2048,32
Total Exec Time,2.76869,2048,32
Memory Setup Time,2.69553,2048,32
Kernel Exec Time,0.010079,2048,32
Total Exec Time,2.70793,2048,32
Memory Setup Time,2.64143,2048,32
Kernel Exec Time,0.010047,2048,32
Total Exec Time,2.93609,2048,32
Memory Setup Time,2.87044,2048,32
Kernel Exec Time,0.010207,2048,32
Total Exec Time,2.71499,2048,32
Memory Setup Time,2.64191,2048,32
Kernel Exec Time,0.010241,2048,32
Total Exec Time,2.99263,2048,32
Memory Setup Time,2.92641,2048,32
Kernel Exec Time,0.009984,2048,32
Total Exec Time,2.88562,2048,32
Memory Setup Time,2.81852,2048,32
Kernel Exec Time,0.010081,2048,32
Total Exec Time,2.73665,2048,32
Memory Setup Time,2.67057,2048,32
Kernel Exec Time,0.010241,2048,32
Total Exec Time,2.71122,2048,32
Memory Setup Time,2.64512,2048,32
Kernel Exec Time,0.01024,2048,32
Total Exec Time,2.69219,2048,32
Memory Setup Time,2.62618,2048,32
Kernel Exec Time,0.010239,2048,32
Total Exec Time,3.22287,2048,32
Memory Setup Time,3.10502,2048,32
Kernel Exec Time,0.012288,2048,32
Total Exec Time,3.12301,2048,32
Memory Setup Time,3.01401,2048,32
Kernel Exec Time,0.012001,2048,32
Total Exec Time,2.82029,2048,32
Memory Setup Time,2.75334,2048,32
Kernel Exec Time,0.010143,2048,32
Total Exec Time,2.75615,2048,32
Memory Setup Time,2.69015,2048,32
Kernel Exec Time,0.01024,2048,32
Total Exec Time,2.92825,2048,32
Memory Setup Time,2.86115,2048,32
Kernel Exec Time,0.010241,2048,32
Total Exec Time,3.39268,2048,32
Memory Setup Time,3.32598,2048,32
Kernel Exec Time,0.010016,2048,32
Total Exec Time,2.85169,2048,32
Memory Setup Time,2.77722,2048,32
Kernel Exec Time,0.010687,2048,32
Total Exec Time,3.00753,2048,32
Memory Setup Time,2.9407,2048,32
Kernel Exec Time,0.010049,2048,32
Total Exec Time,3.13953,2048,32
Memory Setup Time,2.99387,2048,32
Kernel Exec Time,0.014143,2048,32
Total Exec Time,2.66878,2048,32
Memory Setup Time,2.60345,2048,32
Kernel Exec Time,0.01024,2048,32
Total Exec Time,2.89123,2048,32
Memory Setup Time,2.82384,2048,32
Kernel Exec Time,0.010239,2048,32
Total Exec Time,3.06693,2048,32
Memory Setup Time,2.98804,2048,32
Kernel Exec Time,0.010911,2048,32
Total Exec Time,3.10303,2048,32
Memory Setup Time,3.03557,2048,32
Kernel Exec Time,0.008927,2048,32
Total Exec Time,2.55321,2048,32
Memory Setup Time,2.48754,2048,32
Kernel Exec Time,0.010177,2048,32
Total Exec Time,3.28215,2048,32
Memory Setup Time,3.17032,2048,32
Kernel Exec Time,0.012064,2048,32
Total Exec Time,2.87296,2048,32
Memory Setup Time,2.806,2048,32
Kernel Exec Time,0.01024,2048,32
Total Exec Time,3.03548,2048,32
Memory Setup Time,2.97056,2048,32
Kernel Exec Time,0.010016,2048,32
Total Exec Time,3.27289,4096,32
Memory Setup Time,3.12729,4096,32
Kernel Exec Time,0.013601,4096,32
Total Exec Time,2.68438,4096,32
Memory Setup Time,2.61725,4096,32
Kernel Exec Time,0.009921,4096,32
Total Exec Time,3.18823,4096,32
Memory Setup Time,3.12119,4096,32
Kernel Exec Time,0.010239,4096,32
Total Exec Time,3.05346,4096,32
Memory Setup Time,2.98678,4096,32
Kernel Exec Time,0.01024,4096,32
Total Exec Time,2.98882,4096,32
Memory Setup Time,2.84295,4096,32
Kernel Exec Time,0.013216,4096,32
Total Exec Time,3.04387,4096,32
Memory Setup Time,2.97831,4096,32
Kernel Exec Time,0.010175,4096,32
Total Exec Time,3.72497,4096,32
Memory Setup Time,3.65999,4096,32
Kernel Exec Time,0.009983,4096,32
Total Exec Time,2.95616,4096,32
Memory Setup Time,2.88935,4096,32
Kernel Exec Time,0.010239,4096,32
Total Exec Time,3.05333,4096,32
Memory Setup Time,2.98564,4096,32
Kernel Exec Time,0.010016,4096,32
Total Exec Time,3.25673,4096,32
Memory Setup Time,3.10787,4096,32
Kernel Exec Time,0.01376,4096,32
Total Exec Time,2.74467,4096,32
Memory Setup Time,2.6786,4096,32
Kernel Exec Time,0.010241,4096,32
Total Exec Time,3.01694,4096,32
Memory Setup Time,2.9499,4096,32
Kernel Exec Time,0.010049,4096,32
Total Exec Time,3.12085,4096,32
Memory Setup Time,3.04825,4096,32
Kernel Exec Time,0.010079,4096,32
Total Exec Time,3.31229,4096,32
Memory Setup Time,3.24537,4096,32
Kernel Exec Time,0.009984,4096,32
Total Exec Time,2.8509,4096,32
Memory Setup Time,2.78441,4096,32
Kernel Exec Time,0.011265,4096,32
Total Exec Time,3.6126,4096,32
Memory Setup Time,3.54723,4096,32
Kernel Exec Time,0.009887,4096,32
Total Exec Time,3.28183,4096,32
Memory Setup Time,3.13582,4096,32
Kernel Exec Time,0.013216,4096,32
Total Exec Time,2.78302,4096,32
Memory Setup Time,2.71086,4096,32
Kernel Exec Time,0.010241,4096,32
Total Exec Time,3.20974,4096,32
Memory Setup Time,3.06448,4096,32
Kernel Exec Time,0.013952,4096,32
Total Exec Time,3.21735,4096,32
Memory Setup Time,3.07129,4096,32
Kernel Exec Time,0.014337,4096,32
Total Exec Time,4.35731,4096,32
Memory Setup Time,4.21118,4096,32
Kernel Exec Time,0.014303,4096,32
Total Exec Time,3.01778,4096,32
Memory Setup Time,2.95058,4096,32
Kernel Exec Time,0.009023,4096,32
Total Exec Time,2.73958,4096,32
Memory Setup Time,2.6726,4096,32
Kernel Exec Time,0.010241,4096,32
Total Exec Time,3.15193,4096,32
Memory Setup Time,3.01851,4096,32
Kernel Exec Time,0.010241,4096,32
Total Exec Time,2.97045,4096,32
Memory Setup Time,2.85184,4096,32
Kernel Exec Time,0.012352,4096,32
Total Exec Time,2.72964,4096,32
Memory Setup Time,2.66227,4096,32
Kernel Exec Time,0.010239,4096,32
Total Exec Time,3.2742,4096,32
Memory Setup Time,3.12491,4096,32
Kernel Exec Time,0.014335,4096,32
Total Exec Time,3.10174,4096,32
Memory Setup Time,3.0354,4096,32
Kernel Exec Time,0.010081,4096,32
Total Exec Time,3.324,8192,32
Memory Setup Time,3.2274,8192,32
Kernel Exec Time,0.010239,8192,32
Total Exec Time,3.18131,8192,32
Memory Setup Time,3.03527,8192,32
Kernel Exec Time,0.014016,8192,32
Total Exec Time,2.96801,8192,32
Memory Setup Time,2.9002,8192,32
Kernel Exec Time,0.010144,8192,32
Total Exec Time,3.00875,8192,32
Memory Setup Time,2.94157,8192,32
Kernel Exec Time,0.010272,8192,32
Total Exec Time,3.35827,8192,32
Memory Setup Time,3.21217,8192,32
Kernel Exec Time,0.013153,8192,32
Total Exec Time,2.94663,8192,32
Memory Setup Time,2.8591,8192,32
Kernel Exec Time,0.01072,8192,32
Total Exec Time,2.98279,8192,32
Memory Setup Time,2.91539,8192,32
Kernel Exec Time,0.010112,8192,32
Total Exec Time,2.86034,8192,32
Memory Setup Time,2.79297,8192,32
Kernel Exec Time,0.010304,8192,32
Total Exec Time,2.90634,8192,32
Memory Setup Time,2.76164,8192,32
Kernel Exec Time,0.014272,8192,32
Total Exec Time,3.10227,8192,32
Memory Setup Time,3.03656,8192,32
Kernel Exec Time,0.010177,8192,32
Total Exec Time,3.01653,8192,32
Memory Setup Time,2.95044,8192,32
Kernel Exec Time,0.010241,8192,32
Total Exec Time,2.95291,8192,32
Memory Setup Time,2.80065,8192,32
Kernel Exec Time,0.014657,8192,32
Total Exec Time,3.29995,8192,32
Memory Setup Time,3.14934,8192,32
Kernel Exec Time,0.011456,8192,32
Total Exec Time,3.19822,8192,32
Memory Setup Time,3.08635,8192,32
Kernel Exec Time,0.01216,8192,32
Total Exec Time,2.86233,8192,32
Memory Setup Time,2.79527,8192,32
Kernel Exec Time,0.0104,8192,32
Total Exec Time,2.86715,8192,32
Memory Setup Time,2.8007,8192,32
Kernel Exec Time,0.010241,8192,32
Total Exec Time,3.21559,8192,32
Memory Setup Time,3.09958,8192,32
Kernel Exec Time,0.012287,8192,32
Total Exec Time,3.34188,8192,32
Memory Setup Time,3.19707,8192,32
Kernel Exec Time,0.014528,8192,32
Total Exec Time,2.80972,8192,32
Memory Setup Time,2.7439,8192,32
Kernel Exec Time,0.01024,8192,32
Total Exec Time,2.97914,8192,32
Memory Setup Time,2.91238,8192,32
Kernel Exec Time,0.010272,8192,32
Total Exec Time,3.05529,8192,32
Memory Setup Time,2.98898,8192,32
Kernel Exec Time,0.010241,8192,32
Total Exec Time,3.27334,8192,32
Memory Setup Time,3.12778,8192,32
Kernel Exec Time,0.014208,8192,32
Total Exec Time,3.0523,8192,32
Memory Setup Time,2.98598,8192,32
Kernel Exec Time,0.01024,8192,32
Total Exec Time,3.12044,8192,32
Memory Setup Time,3.0539,8192,32
Kernel Exec Time,0.010239,8192,32
Total Exec Time,3.17512,8192,32
Memory Setup Time,3.02059,8192,32
Kernel Exec Time,0.014272,8192,32
Total Exec Time,2.96358,8192,32
Memory Setup Time,2.8469,8192,32
Kernel Exec Time,0.012607,8192,32
Total Exec Time,2.75419,8192,32
Memory Setup Time,2.68773,8192,32
Kernel Exec Time,0.01024,8192,32
Total Exec Time,2.98055,8192,32
Memory Setup Time,2.91303,8192,32
Kernel Exec Time,0.010241,8192,32
Total Exec Time,3.16024,16384,32
Memory Setup Time,3.04783,16384,32
Kernel Exec Time,0.013248,16384,32
Total Exec Time,3.31969,16384,32
Memory Setup Time,3.17154,16384,32
Kernel Exec Time,0.015073,16384,32
Total Exec Time,3.12586,16384,32
Memory Setup Time,2.97517,16384,32
Kernel Exec Time,0.016385,16384,32
Total Exec Time,2.84133,16384,32
Memory Setup Time,2.76803,16384,32
Kernel Exec Time,0.011265,16384,32
Total Exec Time,3.1344,16384,32
Memory Setup Time,3.06489,16384,32
Kernel Exec Time,0.011711,16384,32
Total Exec Time,2.79461,16384,32
Memory Setup Time,2.72686,16384,32
Kernel Exec Time,0.010592,16384,32
Total Exec Time,3.0719,16384,32
Memory Setup Time,3.00428,16384,32
Kernel Exec Time,0.012255,16384,32
Total Exec Time,3.08554,16384,32
Memory Setup Time,2.93871,16384,32
Kernel Exec Time,0.014369,16384,32
Total Exec Time,2.76639,16384,32
Memory Setup Time,2.69005,16384,32
Kernel Exec Time,0.012192,16384,32
Total Exec Time,2.8395,16384,32
Memory Setup Time,2.77192,16384,32
Kernel Exec Time,0.012289,16384,32
Total Exec Time,2.97408,16384,32
Memory Setup Time,2.9072,16384,32
Kernel Exec Time,0.011745,16384,32
Total Exec Time,3.28778,16384,32
Memory Setup Time,3.14125,16384,32
Kernel Exec Time,0.014721,16384,32
Total Exec Time,2.8394,16384,32
Memory Setup Time,2.77244,16384,32
Kernel Exec Time,0.010529,16384,32
Total Exec Time,3.02391,16384,32
Memory Setup Time,2.95662,16384,32
Kernel Exec Time,0.01056,16384,32
Total Exec Time,2.94558,16384,32
Memory Setup Time,2.8782,16384,32
Kernel Exec Time,0.010304,16384,32
Total Exec Time,2.96273,16384,32
Memory Setup Time,2.89544,16384,32
Kernel Exec Time,0.012129,16384,32
Total Exec Time,3.00502,16384,32
Memory Setup Time,2.8888,16384,32
Kernel Exec Time,0.013471,16384,32
Total Exec Time,3.30822,16384,32
Memory Setup Time,3.15919,16384,32
Kernel Exec Time,0.016385,16384,32
Total Exec Time,2.91151,16384,32
Memory Setup Time,2.84226,16384,32
Kernel Exec Time,0.010527,16384,32
Total Exec Time,3.18683,16384,32
Memory Setup Time,3.03831,16384,32
Kernel Exec Time,0.015616,16384,32
Total Exec Time,2.78813,16384,32
Memory Setup Time,2.72058,16384,32
Kernel Exec Time,0.012289,16384,32
Total Exec Time,3.43383,16384,32
Memory Setup Time,3.28782,16384,32
Kernel Exec Time,0.014656,16384,32
Total Exec Time,3.10935,16384,32
Memory Setup Time,3.0406,16384,32
Kernel Exec Time,0.01104,16384,32
Total Exec Time,2.92472,16384,32
Memory Setup Time,2.85691,16384,32
Kernel Exec Time,0.012289,16384,32
Total Exec Time,2.92521,16384,32
Memory Setup Time,2.8567,16384,32
Kernel Exec Time,0.011648,16384,32
Total Exec Time,3.31993,16384,32
Memory Setup Time,3.17705,16384,32
Kernel Exec Time,0.0128,16384,32
Total Exec Time,3.05578,16384,32
Memory Setup Time,2.90942,16384,32
Kernel Exec Time,0.014656,16384,32
Total Exec Time,2.84555,16384,32
Memory Setup Time,2.77783,16384,32
Kernel Exec Time,0.011967,16384,32
Total Exec Time,3.17299,32768,32
Memory Setup Time,3.09738,32768,32
Kernel Exec Time,0.013248,32768,32
Total Exec Time,2.88177,32768,32
Memory Setup Time,2.81084,32768,32
Kernel Exec Time,0.013696,32768,32
Total Exec Time,2.86576,32768,32
Memory Setup Time,2.79682,32768,32
Kernel Exec Time,0.01264,32768,32
Total Exec Time,2.90602,32768,32
Memory Setup Time,2.83593,32768,32
Kernel Exec Time,0.013311,32768,32
Total Exec Time,3.16196,32768,32
Memory Setup Time,3.08609,32768,32
Kernel Exec Time,0.013601,32768,32
Total Exec Time,3.14505,32768,32
Memory Setup Time,2.9962,32768,32
Kernel Exec Time,0.017697,32768,32
Total Exec Time,3.08277,32768,32
Memory Setup Time,2.9327,32768,32
Kernel Exec Time,0.018112,32768,32
Total Exec Time,3.00651,32768,32
Memory Setup Time,2.93672,32768,32
Kernel Exec Time,0.012608,32768,32
Total Exec Time,3.0305,32768,32
Memory Setup Time,2.96068,32768,32
Kernel Exec Time,0.012543,32768,32
Total Exec Time,3.1258,32768,32
Memory Setup Time,3.00726,32768,32
Kernel Exec Time,0.014944,32768,32
Total Exec Time,2.89585,32768,32
Memory Setup Time,2.82538,32768,32
Kernel Exec Time,0.013792,32768,32
Total Exec Time,3.07843,32768,32
Memory Setup Time,2.97923,32768,32
Kernel Exec Time,0.014273,32768,32
