Event,ExecTime(ms),VectorSize,WorkGroupSize
Kernel Exec Time,0.169984,2048,1024
Total Exec Time,2.58794,2048,1024
Memory Setup Time,2.363,2048,1024
Kernel Exec Time,0.169983,2048,1024
Total Exec Time,6.14354,2048,1024
Memory Setup Time,5.9191,2048,1024
Kernel Exec Time,0.169985,2048,1024
Total Exec Time,2.54764,2048,1024
Memory Setup Time,2.32564,2048,1024
Kernel Exec Time,0.171007,2048,1024
Total Exec Time,2.95204,2048,1024
Memory Setup Time,2.72926,2048,1024
Kernel Exec Time,0.169983,2048,1024
Total Exec Time,2.99397,2048,1024
Memory Setup Time,2.77089,2048,1024
Kernel Exec Time,0.169983,2048,1024
Total Exec Time,3.05824,2048,1024
Memory Setup Time,2.836,2048,1024
Kernel Exec Time,0.169984,2048,1024
Total Exec Time,2.76063,2048,1024
Memory Setup Time,2.5378,2048,1024
Kernel Exec Time,0.169983,2048,1024
Total Exec Time,2.01855,4096,1024
Memory Setup Time,1.79949,4096,1024
Kernel Exec Time,0.169985,4096,1024
Total Exec Time,3.3566,4096,1024
Memory Setup Time,3.13325,4096,1024
Kernel Exec Time,0.16896,4096,1024
Total Exec Time,2.58333,4096,1024
Memory Setup Time,2.35945,4096,1024
Kernel Exec Time,0.169984,4096,1024
Total Exec Time,3.26463,4096,1024
Memory Setup Time,3.0405,4096,1024
Kernel Exec Time,0.169984,4096,1024
Total Exec Time,2.25795,4096,1024
Memory Setup Time,2.0224,4096,1024
Kernel Exec Time,0.171007,4096,1024
Total Exec Time,1.98626,4096,1024
Memory Setup Time,1.7624,4096,1024
Kernel Exec Time,0.169985,4096,1024
Total Exec Time,2.22489,4096,1024
Memory Setup Time,2.0036,4096,1024
Kernel Exec Time,0.169984,4096,1024
Total Exec Time,2.18307,4096,1024
Memory Setup Time,1.95953,4096,1024
Kernel Exec Time,0.169985,4096,1024
Total Exec Time,2.41043,4096,1024
Memory Setup Time,2.18947,4096,1024
Kernel Exec Time,0.169983,4096,1024
Total Exec Time,2.38653,4096,1024
Memory Setup Time,2.16406,4096,1024
Kernel Exec Time,0.171009,4096,1024
Total Exec Time,2.2124,4096,1024
Memory Setup Time,1.99397,4096,1024
Kernel Exec Time,0.171007,4096,1024
Total Exec Time,2.41587,4096,1024
Memory Setup Time,2.19271,4096,1024
Kernel Exec Time,0.169985,4096,1024
Total Exec Time,2.3049,4096,1024
Memory Setup Time,2.08126,4096,1024
Kernel Exec Time,0.169984,4096,1024
Total Exec Time,2.09022,4096,1024
Memory Setup Time,1.86689,4096,1024
Kernel Exec Time,0.169983,4096,1024
Total Exec Time,2.41605,4096,1024
Memory Setup Time,2.19289,4096,1024
Kernel Exec Time,0.169985,4096,1024
Total Exec Time,2.65484,4096,1024
Memory Setup Time,2.4319,4096,1024
Kernel Exec Time,0.169985,4096,1024
Total Exec Time,2.7881,4096,1024
Memory Setup Time,2.56712,4096,1024
Kernel Exec Time,0.169983,4096,1024
Total Exec Time,2.44206,4096,1024
Memory Setup Time,2.21903,4096,1024
Kernel Exec Time,0.169983,4096,1024
Total Exec Time,2.74459,4096,1024
Memory Setup Time,2.52327,4096,1024
Kernel Exec Time,0.169985,4096,1024
Total Exec Time,2.9136,4096,1024
Memory Setup Time,2.69273,4096,1024
Kernel Exec Time,0.169985,4096,1024
Total Exec Time,2.65208,4096,1024
Memory Setup Time,2.43387,4096,1024
Kernel Exec Time,0.169983,4096,1024
Total Exec Time,3.36573,4096,1024
Memory Setup Time,3.14671,4096,1024
Kernel Exec Time,0.171007,4096,1024
Total Exec Time,3.06474,4096,1024
Memory Setup Time,2.84616,4096,1024
Kernel Exec Time,0.171009,4096,1024
Total Exec Time,2.36693,4096,1024
Memory Setup Time,2.14427,4096,1024
Kernel Exec Time,0.169983,4096,1024
Total Exec Time,3.4672,4096,1024
Memory Setup Time,3.23663,4096,1024
Kernel Exec Time,0.169984,4096,1024
Total Exec Time,3.27272,4096,1024
Memory Setup Time,3.04948,4096,1024
Kernel Exec Time,0.169983,4096,1024
Total Exec Time,2.62807,4096,1024
Memory Setup Time,2.4041,4096,1024
Kernel Exec Time,0.169983,4096,1024
Total Exec Time,4.56027,4096,1024
Memory Setup Time,4.33665,4096,1024
Kernel Exec Time,0.169985,4096,1024
Total Exec Time,2.55554,4096,1024
Memory Setup Time,2.33261,4096,1024
Kernel Exec Time,0.169985,4096,1024
Total Exec Time,2.50023,4096,1024
Memory Setup Time,2.2773,4096,1024
Kernel Exec Time,0.169985,4096,1024
Total Exec Time,2.45719,8192,1024
