Event,ExecTime(ms),VectorSize,WorkGroupSize,Device
Total Exec Time,7.28215,8388608,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,5.26248,8388608,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,1.96199,8388608,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,7.09911,8388608,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,5.07171,8388608,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,1.97018,8388608,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,10.9886,16777216,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,7.00054,16777216,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,3.92493,16777216,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,11.1323,16777216,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,7.1428,16777216,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,3.92634,16777216,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,18.8986,33554432,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,10.9935,33554432,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,7.84179,33554432,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,18.8485,33554432,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,10.9291,33554432,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,7.84589,33554432,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,34.2535,67108864,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,18.5272,67108864,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,15.6637,67108864,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,34.1276,67108864,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,18.397,67108864,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,15.6613,67108864,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,58.072,134217728,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,29.9578,134217728,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,28.0531,134217728,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,47.874,134217728,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,25.1679,134217728,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,22.6446,134217728,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,93.187,268435456,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,47.2039,268435456,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,45.9201,268435456,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,92.4456,268435456,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,46.7488,268435456,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,45.6297,268435456,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,183.58,536870912,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,90.6646,536870912,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,92.84,536870912,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,183.235,536870912,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,90.5549,536870912,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,92.6145,536870912,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.28532,1024,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.1332,1024,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.014337,1024,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.70187,1024,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.63545,1024,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.01008,1024,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.99175,1024,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.92491,1024,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.01024,1024,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.21642,1024,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.06504,1024,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.022528,1024,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.80633,1024,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.7398,1024,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010016,1024,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.98231,1024,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.91622,1024,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.009856,1024,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.97247,1024,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.89867,1024,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010016,1024,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.04808,1024,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.98008,1024,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010016,1024,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.91241,1024,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.84662,1024,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.009983,1024,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,4.44186,1024,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,4.37569,1024,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.01024,1024,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.84578,1024,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.78006,1024,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.010241,1024,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,3.23895,1024,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,3.09336,1024,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.014335,1024,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.67788,1024,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.61188,1024,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.01024,1024,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.52767,1024,32,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,2.46078,1024,32,NVIDIA GeForce RTX 2080 Ti
Kernel Exec Time,0.009952,1024,32,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2.99489,1024,32,NVIDIA GeForce RTX 2080 Ti
