Event,MeanCGSubmissionTime(ms),MeanKernelExecTime(ms),MeanTotalExecTime(ms),VecSize,WorkGroupSize,GPU
Enqueue,0.003208,1.19006,2.03305,2097152,64,A100
Queue Add,0.003415,0.416187,2.03305,2097152,64,A100
Shutdown,0.003515,0.361643,2.03305,2097152,64,A100
Enqueue,0.003348,2.36701,4.02028,4194304,64,A100
Queue Add,0.003372,0.883781,4.02028,4194304,64,A100
Shutdown,0.003281,0.712564,4.02028,4194304,64,A100
Enqueue,0.003379,4.71917,7.55355,8388608,64,A100
Queue Add,0.003266,1.36175,7.55355,8388608,64,A100
Shutdown,0.003199,1.41466,7.55355,8388608,64,A100
Enqueue,0.003356,9.33153,15.0055,16777216,64,A100
Queue Add,0.003328,2.79111,15.0055,16777216,64,A100
Shutdown,0.00335,2.82234,15.0055,16777216,64,A100
Enqueue,0.003377,18.4859,29.8135,33554432,64,A100
Queue Add,0.003918,5.63091,29.8135,33554432,64,A100
Shutdown,0.003373,5.6337,29.8135,33554432,64,A100
Enqueue,0.003361,36.9094,59.0624,67108864,64,A100
Queue Add,0.00323,10.8315,59.0624,67108864,64,A100
Shutdown,0.003304,11.2566,59.0624,67108864,64,A100
Enqueue,0.003548,73.7856,117.843,134217728,64,A100
Queue Add,0.003287,21.4777,117.843,134217728,64,A100
Shutdown,0.003385,22.501,117.843,134217728,64,A100
Enqueue,0.00319,147.478,234.258,268435456,64,A100
Queue Add,0.00345,41.7116,234.258,268435456,64,A100
Shutdown,0.00332,44.9911,234.258,268435456,64,A100
Enqueue,0.004557,294.052,468.316,536870912,64,A100
Queue Add,0.003255,84.1928,468.316,536870912,64,A100
Shutdown,0.00332,89.982,468.316,536870912,64,A100
Enqueue,0.003208,0.042222,1.94919,1024,128,A100
Queue Add,0.003242,0.005938,1.94919,1024,128,A100
Shutdown,0.003208,0.011503,1.94919,1024,128,A100
Enqueue,0.00331,0.026589,0.0938137,2048,128,A100
Queue Add,0.003344,0.005598,0.0938137,2048,128,A100
Shutdown,0.00331,0.011673,0.0938137,2048,128,A100
Enqueue,0.003345,0.029525,0.0995037,4096,128,A100
Queue Add,0.003516,0.007816,0.0995037,4096,128,A100
Shutdown,0.003345,0.012048,0.0995037,4096,128,A100
Enqueue,0.00331,0.031539,0.101272,8192,128,A100
Queue Add,0.003379,0.009557,0.101272,8192,128,A100
Shutdown,0.003277,0.011604,0.101272,8192,128,A100
Enqueue,0.003549,0.038604,0.111369,16384,128,A100
Queue Add,0.003448,0.011058,0.111369,16384,128,A100
Shutdown,0.003482,0.012014,0.111369,16384,128,A100
Enqueue,0.003481,0.064786,0.148052,32768,128,A100
Queue Add,0.003516,0.014063,0.148052,32768,128,A100
Shutdown,0.003618,0.019114,0.148052,32768,128,A100
Enqueue,0.003446,0.078369,0.171082,65536,128,A100
Queue Add,0.003481,0.016759,0.171082,65536,128,A100
Shutdown,0.003583,0.025838,0.171082,65536,128,A100
Enqueue,0.003379,0.119125,0.236039,131072,128,A100
Queue Add,0.003242,0.027203,0.236039,131072,128,A100
Shutdown,0.003652,0.039798,0.236039,131072,128,A100
Enqueue,0.003344,0.192,0.375408,262144,128,A100
Queue Add,0.00331,0.058845,0.375408,262144,128,A100
Shutdown,0.003378,0.073693,0.375408,262144,128,A100
Enqueue,0.003206,0.326008,0.605487,524288,128,A100
Queue Add,0.003445,0.123053,0.605487,524288,128,A100
Shutdown,0.003344,0.104278,0.605487,524288,128,A100
Enqueue,0.00331,0.612761,1.1117,1048576,128,A100
Queue Add,0.003518,0.250502,1.1117,1048576,128,A100
Shutdown,0.003276,0.196095,1.1117,1048576,128,A100
Enqueue,0.003314,1.19013,2.05113,2097152,128,A100
Queue Add,0.003412,0.418374,2.05113,2097152,128,A100
Shutdown,0.003379,0.376012,2.05113,2097152,128,A100
Enqueue,0.00331,2.34534,3.86,4194304,128,A100
Queue Add,0.003346,0.721269,3.86,4194304,128,A100
Shutdown,0.003311,0.737176,3.86,4194304,128,A100
Enqueue,0.003383,4.58247,7.58963,8388608,128,A100
Queue Add,0.003411,1.50084,7.58963,8388608,128,A100
Shutdown,0.003346,1.4495,7.58963,8388608,128,A100
Enqueue,0.003405,9.16804,14.8609,16777216,128,A100
Queue Add,0.003314,2.74706,14.8609,16777216,128,A100
Shutdown,0.00334,2.88625,14.8609,16777216,128,A100
Enqueue,0.003316,18.3499,29.6318,33554432,128,A100
Queue Add,0.003373,5.46321,29.6318,33554432,128,A100
Shutdown,0.003405,5.75201,29.6318,33554432,128,A100
Enqueue,0.003369,36.4577,58.7644,67108864,128,A100
Queue Add,0.003759,10.756,58.7644,67108864,128,A100
Shutdown,0.003328,11.4848,58.7644,67108864,128,A100
Enqueue,0.003401,72.4155,116.538,134217728,128,A100
Queue Add,0.003483,21.0926,116.538,134217728,128,A100
Shutdown,0.00332,22.953,116.538,134217728,128,A100
Enqueue,0.003548,144.665,232.209,268435456,128,A100
Queue Add,0.00332,41.5799,232.209,268435456,128,A100
Shutdown,0.00319,45.882,232.209,268435456,128,A100
Enqueue,0.003515,287.511,460.62,536870912,128,A100
Queue Add,0.003255,81.2706,460.62,536870912,128,A100
Shutdown,0.00332,91.7487,460.62,536870912,128,A100
Enqueue,0.003413,0.056456,0.221979,1024,256,A100
Queue Add,0.003413,0.006143,0.221979,1024,256,A100
Shutdown,0.003311,0.018022,0.221979,1024,256,A100
Enqueue,0.003379,0.041199,0.114723,2048,256,A100
Queue Add,0.003242,0.006144,0.114723,2048,256,A100
Shutdown,0.00372,0.017578,0.114723,2048,256,A100
Enqueue,0.003345,0.041335,0.114952,4096,256,A100
Queue Add,0.003208,0.00727,0.114952,4096,256,A100
Shutdown,0.003515,0.017612,0.114952,4096,256,A100
Enqueue,0.003549,0.042564,0.11923,8192,256,A100
Queue Add,0.003413,0.009557,0.11923,8192,256,A100
Shutdown,0.003345,0.017715,0.11923,8192,256,A100
Enqueue,0.003344,0.046762,0.125062,16384,256,A100
Queue Add,0.003379,0.011946,0.125062,16384,256,A100
Shutdown,0.003276,0.01792,0.125062,16384,256,A100
Enqueue,0.003549,0.079974,0.172997,32768,256,A100
Queue Add,0.003549,0.013619,0.172997,32768,256,A100
Shutdown,0.003344,0.030481,0.172997,32768,256,A100
Enqueue,0.003242,0.097144,0.205034,65536,256,A100
Queue Add,0.003208,0.017681,0.205034,65536,256,A100
Shutdown,0.003208,0.042905,0.205034,65536,256,A100
Enqueue,0.003412,0.14807,0.292435,131072,256,A100
Queue Add,0.003413,0.027648,0.292435,131072,256,A100
Shutdown,0.003379,0.068129,0.292435,131072,256,A100
Enqueue,0.003515,0.20852,0.423786,262144,256,A100
Queue Add,0.003242,0.058436,0.423786,262144,256,A100
Shutdown,0.003208,0.108475,0.423786,262144,256,A100
Enqueue,0.003344,0.339729,0.651904,524288,256,A100
Queue Add,0.003242,0.130662,0.651904,524288,256,A100
Shutdown,0.003412,0.122538,0.651904,524288,256,A100
Enqueue,0.003616,0.635018,1.17767,1048576,256,A100
Queue Add,0.003276,0.257365,1.17767,1048576,256,A100
Shutdown,0.003312,0.214765,1.17767,1048576,256,A100
Enqueue,0.003312,1.21299,2.10191,2097152,256,A100
Queue Add,0.003344,0.432127,2.10191,2097152,256,A100
Shutdown,0.003278,0.391917,2.10191,2097152,256,A100
Enqueue,0.003381,2.37104,3.90692,4194304,256,A100
Queue Add,0.003483,0.713249,3.90692,4194304,256,A100
Shutdown,0.003378,0.745985,3.90692,4194304,256,A100
Enqueue,0.003388,4.56075,7.59178,8388608,256,A100
Queue Add,0.003339,1.51709,7.59178,8388608,256,A100
Shutdown,0.003518,1.45716,7.59178,8388608,256,A100
Enqueue,0.003267,9.05393,14.6788,16777216,256,A100
Queue Add,0.003375,2.68156,14.6788,16777216,256,A100
Shutdown,0.003332,2.88601,14.6788,16777216,256,A100
Enqueue,0.003381,17.9609,29.1106,33554432,256,A100
Queue Add,0.003312,5.34346,29.1106,33554432,256,A100
Shutdown,0.003397,5.74154,29.1106,33554432,256,A100
Enqueue,0.003548,35.7375,57.6238,67108864,256,A100
Queue Add,0.003271,10.3812,57.6238,67108864,256,A100
Shutdown,0.003361,11.4413,57.6238,67108864,256,A100
Enqueue,0.003385,71.1424,114.979,134217728,256,A100
Queue Add,0.003352,20.9113,114.979,134217728,256,A100
Shutdown,0.003173,22.8485,114.979,134217728,256,A100
Enqueue,0.003352,142.394,229.248,268435456,256,A100
Queue Add,0.003483,41.1255,229.248,268435456,256,A100
Shutdown,0.003385,45.6493,229.248,268435456,256,A100
Enqueue,0.00358,283.651,455.2,536870912,256,A100
Queue Add,0.002669,80.1521,455.2,536870912,256,A100
Shutdown,0.003645,91.3028,455.2,536870912,256,A100
Enqueue,0.003515,0.082124,0.253035,1024,512,A100
Queue Add,0.003447,0.006143,0.253035,1024,512,A100
Shutdown,0.003276,0.029764,0.253035,1024,512,A100
Enqueue,0.003379,0.069222,0.154616,2048,512,A100
Queue Add,0.003515,0.006075,0.154616,2048,512,A100
Shutdown,0.003344,0.029901,0.154616,2048,512,A100
Enqueue,0.003242,0.07144,0.156706,4096,512,A100
Queue Add,0.003345,0.007679,0.156706,4096,512,A100
Shutdown,0.003276,0.029764,0.156706,4096,512,A100
Enqueue,0.003242,0.07086,0.160475,8192,512,A100
Queue Add,0.003311,0.010888,0.160475,8192,512,A100
Shutdown,0.003208,0.029764,0.160475,8192,512,A100
Enqueue,0.003345,0.073864,0.164652,16384,512,A100
Queue Add,0.003379,0.011366,0.164652,16384,512,A100
Shutdown,0.003379,0.0299,0.164652,16384,512,A100
Enqueue,0.003413,0.135236,0.252714,32768,512,A100
Queue Add,0.003378,0.013243,0.252714,32768,512,A100
Shutdown,0.003276,0.05434,0.252714,32768,512,A100
Enqueue,0.003379,0.201114,0.347986,65536,512,A100
Queue Add,0.003345,0.017442,0.347986,65536,512,A100
Shutdown,0.003379,0.078882,0.347986,65536,512,A100
Enqueue,0.00331,0.260471,0.465938,131072,512,A100
Queue Add,0.003481,0.027409,0.465938,131072,512,A100
Shutdown,0.003413,0.128546,0.465938,131072,512,A100
Enqueue,0.003379,0.376422,0.734103,262144,512,A100
Queue Add,0.003275,0.057207,0.734103,262144,512,A100
Shutdown,0.003276,0.250606,0.734103,262144,512,A100
Enqueue,0.003311,0.547123,1.00161,524288,512,A100
Queue Add,0.003482,0.125064,1.00161,524288,512,A100
Shutdown,0.003311,0.267707,1.00161,524288,512,A100
Enqueue,0.003378,0.961161,1.67062,1048576,512,A100
Queue Add,0.003348,0.236678,1.67062,1048576,512,A100
Shutdown,0.003413,0.407278,1.67062,1048576,512,A100
Enqueue,0.003446,1.77179,2.90029,2097152,512,A100
Queue Add,0.003277,0.413183,2.90029,2097152,512,A100
Shutdown,0.00338,0.655189,2.90029,2097152,512,A100
Enqueue,0.00321,3.27837,5.12392,4194304,512,A100
Queue Add,0.003309,0.692499,5.12392,4194304,512,A100
Shutdown,0.003415,1.09895,5.12392,4194304,512,A100
Enqueue,0.003314,6.37594,9.80487,8388608,512,A100
Queue Add,0.003145,1.3587,9.80487,8388608,512,A100
Shutdown,0.003346,2.01437,9.80487,8388608,512,A100
Enqueue,0.003279,12.4401,19.0674,16777216,512,A100
Queue Add,0.003491,2.70394,19.0674,16777216,512,A100
Shutdown,0.003405,3.86509,19.0674,16777216,512,A100
Enqueue,0.003442,24.7888,37.6511,33554432,512,A100
Queue Add,0.003226,5.30372,37.6511,33554432,512,A100
Shutdown,0.00336,7.4968,37.6511,33554432,512,A100
Enqueue,0.003483,49.5216,75.286,67108864,512,A100
Queue Add,0.003279,10.8941,75.286,67108864,512,A100
Shutdown,0.003483,14.8048,75.286,67108864,512,A100
Enqueue,0.003401,98.3871,149.069,134217728,512,A100
Queue Add,0.003417,21.2364,149.069,134217728,512,A100
Shutdown,0.003369,29.3769,149.069,134217728,512,A100
Enqueue,0.003906,196.549,296.083,268435456,512,A100
Queue Add,0.003222,40.894,296.083,268435456,512,A100
Shutdown,0.003352,58.5605,296.083,268435456,512,A100
Enqueue,0.003776,391.217,589.216,536870912,512,A100
Queue Add,0.003776,81.0064,589.216,536870912,512,A100
Shutdown,0.00345,116.904,589.216,536870912,512,A100
Enqueue,0.003106,0.140049,0.342188,1024,1024,A100
Queue Add,0.003379,0.006041,0.342188,1024,1024,A100
Shutdown,0.003276,0.05376,0.342188,1024,1024,A100
Enqueue,0.003345,0.125713,0.234367,2048,1024,A100
Queue Add,0.003345,0.005905,0.234367,2048,1024,A100
Shutdown,0.003515,0.053999,0.234367,2048,1024,A100
Enqueue,0.003379,0.126259,0.234746,4096,1024,A100
Queue Add,0.003242,0.007475,0.234746,4096,1024,A100
Shutdown,0.003345,0.053759,0.234746,4096,1024,A100
Enqueue,0.00331,0.126225,0.23794,8192,1024,A100
Queue Add,0.003345,0.009762,0.23794,8192,1024,A100
Shutdown,0.003447,0.053657,0.23794,8192,1024,A100
Enqueue,0.003379,0.129194,0.24371,16384,1024,A100
Queue Add,0.003413,0.011434,0.24371,16384,1024,A100
Shutdown,0.003345,0.05393,0.24371,16384,1024,A100
Enqueue,0.003345,0.245486,0.410161,32768,1024,A100
Queue Add,0.00331,0.013687,0.410161,32768,1024,A100
Shutdown,0.003242,0.102605,0.410161,32768,1024,A100
Enqueue,0.003549,0.367342,0.585891,65536,1024,A100
Queue Add,0.003344,0.018022,0.585891,65536,1024,A100
Shutdown,0.003378,0.151313,0.585891,65536,1024,A100
Enqueue,0.003412,0.599449,0.929655,131072,1024,A100
Queue Add,0.003345,0.027716,0.929655,131072,1024,A100
Shutdown,0.003481,0.248729,0.929655,131072,1024,A100
Enqueue,0.003413,1.00932,1.61289,262144,1024,A100
Queue Add,0.003549,0.059392,1.61289,262144,1024,A100
Shutdown,0.003448,0.491998,1.61289,262144,1024,A100
Enqueue,0.003277,1.61256,2.67436,524288,1024,A100
Queue Add,0.003311,0.125679,2.67436,524288,1024,A100
Shutdown,0.003378,0.881253,2.67436,524288,1024,A100
Enqueue,0.003306,2.50932,4.41583,1048576,1024,A100
Queue Add,0.003378,0.24651,4.41583,1048576,1024,A100
Shutdown,0.00331,1.6088,4.41583,1048576,1024,A100
Enqueue,0.003827,3.81518,7.092,2097152,1024,A100
Queue Add,0.003245,0.391983,7.092,2097152,1024,A100
Shutdown,0.003303,2.83116,7.092,2097152,1024,A100
Enqueue,0.003694,6.20577,11.8917,4194304,1024,A100
Queue Add,0.003584,0.705061,11.8917,4194304,1024,A100
Shutdown,0.003204,4.92493,11.8917,4194304,1024,A100
Enqueue,0.003483,10.6415,20.1624,8388608,1024,A100
Queue Add,0.003312,1.36158,20.1624,8388608,1024,A100
Shutdown,0.003352,8.10024,20.1624,8388608,1024,A100
Enqueue,0.003588,19.4461,36.1064,16777216,1024,A100
Queue Add,0.003247,2.70771,36.1064,16777216,1024,A100
Shutdown,0.003361,13.8892,36.1064,16777216,1024,A100
Enqueue,0.003466,36.8128,64.623,33554432,1024,A100
Queue Add,0.003271,5.34708,64.623,33554432,1024,A100
Shutdown,0.003369,22.4007,64.623,33554432,1024,A100
Enqueue,0.00345,73.0442,120.538,67108864,1024,A100
Queue Add,0.003336,10.6664,120.538,67108864,1024,A100
Shutdown,0.00319,36.7568,120.538,67108864,1024,A100
Enqueue,0.003222,144.654,232.147,134217728,1024,A100
Queue Add,0.00358,21.402,232.147,134217728,1024,A100
Shutdown,0.00332,66.0161,232.147,134217728,1024,A100
Enqueue,0.00345,288.003,453.406,268435456,1024,A100
Queue Add,0.003385,41.3623,453.406,268435456,1024,A100
Shutdown,0.003385,123.954,453.406,268435456,1024,A100
Enqueue,0.003645,573.783,891.369,536870912,1024,A100
Queue Add,0.003385,79.4501,891.369,536870912,1024,A100
Shutdown,0.002994,238.042,891.369,536870912,1024,A100
Enqueue,0.00219,0.025465,1.82772,1024,32,GeForce
Queue Add,0.002097,0.004459,1.82772,1024,32,GeForce
Shutdown,0.002244,0.005589,1.82772,1024,32,GeForce
Enqueue,0.002142,0.014074,0.0615972,2048,32,GeForce
Queue Add,0.002127,0.004585,0.0615972,2048,32,GeForce
Shutdown,0.002217,0.005716,0.0615972,2048,32,GeForce
Enqueue,0.002154,0.015171,0.0609549,4096,32,GeForce
Queue Add,0.002101,0.005825,0.0609549,4096,32,GeForce
Shutdown,0.002087,0.005849,0.0609549,4096,32,GeForce
Enqueue,0.002191,0.018456,0.067904,8192,32,GeForce
Queue Add,0.002236,0.009325,0.067904,8192,32,GeForce
Shutdown,0.002087,0.005907,0.067904,8192,32,GeForce
Enqueue,0.002139,0.022902,0.0727933,16384,32,GeForce
Queue Add,0.0023,0.009375,0.0727933,16384,32,GeForce
Shutdown,0.002079,0.006106,0.0727933,16384,32,GeForce
Enqueue,0.002228,0.025897,0.078418,32768,32,GeForce
Queue Add,0.00213,0.011512,0.078418,32768,32,GeForce
Shutdown,0.002153,0.006444,0.078418,32768,32,GeForce
Enqueue,0.002137,0.038522,0.0951354,65536,32,GeForce
Queue Add,0.002167,0.014368,0.0951354,65536,32,GeForce
Shutdown,0.002116,0.008727,0.0951354,65536,32,GeForce
Enqueue,0.002095,0.055422,0.127617,131072,32,GeForce
Queue Add,0.002135,0.02496,0.127617,131072,32,GeForce
Shutdown,0.002174,0.013275,0.127617,131072,32,GeForce
Enqueue,0.002137,0.083968,0.186848,262144,32,GeForce
Queue Add,0.00216,0.047067,0.186848,262144,32,GeForce
Shutdown,0.002117,0.02209,0.186848,262144,32,GeForce
Enqueue,0.002176,0.138152,0.309485,524288,32,GeForce
Queue Add,0.00216,0.095125,0.309485,524288,32,GeForce
Shutdown,0.002162,0.039186,0.309485,524288,32,GeForce
Enqueue,0.002103,0.249529,0.539869,1048576,32,GeForce
Queue Add,0.002151,0.180021,0.539869,1048576,32,GeForce
Shutdown,0.002135,0.074573,0.539869,1048576,32,GeForce
Enqueue,0.002227,0.483654,1.00319,2097152,32,GeForce
Queue Add,0.00208,0.339708,1.00319,2097152,32,GeForce
Shutdown,0.002126,0.143303,1.00319,2097152,32,GeForce
Enqueue,0.00216,0.949933,1.90448,4194304,32,GeForce
Queue Add,0.002119,0.63661,1.90448,4194304,32,GeForce
Shutdown,0.002137,0.280177,1.90448,4194304,32,GeForce
Enqueue,0.002032,1.51989,3.00259,8388608,32,GeForce
Queue Add,0.001877,1.04075,3.00259,8388608,32,GeForce
Shutdown,0.00199,0.405337,3.00259,8388608,32,GeForce
Enqueue,0.001916,2.85348,5.35702,16777216,32,GeForce
Queue Add,0.00202,1.69714,5.35702,16777216,32,GeForce
Shutdown,0.001989,0.769813,5.35702,16777216,32,GeForce
Enqueue,0.001965,5.66774,10.524,33554432,32,GeForce
Queue Add,0.001761,3.27844,10.524,33554432,32,GeForce
Shutdown,0.001916,1.53905,10.524,33554432,32,GeForce
Enqueue,0.002115,10.8236,21.6982,67108864,32,GeForce
Queue Add,0.002026,7.75383,21.6982,67108864,32,GeForce
Shutdown,0.001928,3.07583,21.6982,67108864,32,GeForce
Enqueue,0.001985,22.914,43.4858,134217728,32,GeForce
Queue Add,0.001904,14.3682,43.4858,134217728,32,GeForce
Shutdown,0.001936,6.16227,43.4858,134217728,32,GeForce
Enqueue,0.002083,43.4775,82.7608,268435456,32,GeForce
Queue Add,0.00192,26.8028,82.7608,268435456,32,GeForce
Shutdown,0.002018,12.4316,82.7608,268435456,32,GeForce
Enqueue,0.002083,86.3907,163.684,536870912,32,GeForce
Queue Add,0.001888,52.4214,163.684,536870912,32,GeForce
Shutdown,0.002018,24.8201,163.684,536870912,32,GeForce
Enqueue,0.002281,0.026747,1.84885,1024,64,GeForce
Queue Add,0.00209,0.004489,1.84885,1024,64,GeForce
Shutdown,0.002142,0.007154,1.84885,1024,64,GeForce
Enqueue,0.002189,0.016436,0.0621513,2048,64,GeForce
Queue Add,0.002153,0.004507,0.0621513,2048,64,GeForce
Shutdown,0.002226,0.007235,0.0621513,2048,64,GeForce
Enqueue,0.00226,0.016977,0.0656395,4096,64,GeForce
Queue Add,0.002153,0.005749,0.0656395,4096,64,GeForce
Shutdown,0.002195,0.007271,0.0656395,4096,64,GeForce
Enqueue,0.002109,0.017446,0.0676298,8192,64,GeForce
Queue Add,0.002161,0.007684,0.0676298,8192,64,GeForce
Shutdown,0.002219,0.007231,0.0676298,8192,64,GeForce
Enqueue,0.002223,0.017309,0.0680218,16384,64,GeForce
Queue Add,0.00224,0.007382,0.0680218,16384,64,GeForce
Shutdown,0.002157,0.007479,0.0680218,16384,64,GeForce
Enqueue,0.002204,0.028207,0.0827643,32768,64,GeForce
Queue Add,0.002121,0.010968,0.0827643,32768,64,GeForce
Shutdown,0.002164,0.007571,0.0827643,32768,64,GeForce
Enqueue,0.002132,0.040072,0.0953603,65536,64,GeForce
Queue Add,0.002081,0.013666,0.0953603,65536,64,GeForce
Shutdown,0.002083,0.008033,0.0953603,65536,64,GeForce
Enqueue,0.002158,0.05763,0.126045,131072,64,GeForce
Queue Add,0.002195,0.022722,0.126045,131072,64,GeForce
Shutdown,0.002093,0.011853,0.126045,131072,64,GeForce
Enqueue,0.002171,0.084822,0.178755,262144,64,GeForce
Queue Add,0.002155,0.040514,0.178755,262144,64,GeForce
Shutdown,0.002123,0.019233,0.178755,262144,64,GeForce
Enqueue,0.002206,0.161333,0.347842,524288,64,GeForce
Queue Add,0.002084,0.11532,0.347842,524288,64,GeForce
Shutdown,0.002197,0.034421,0.347842,524288,64,GeForce
Enqueue,0.002219,0.231635,0.448341,1048576,64,GeForce
Queue Add,0.002128,0.117704,0.448341,1048576,64,GeForce
Shutdown,0.002193,0.062594,0.448341,1048576,64,GeForce
Enqueue,0.002123,0.473462,0.932601,2097152,64,GeForce
Queue Add,0.002103,0.302396,0.932601,2097152,64,GeForce
Shutdown,0.002152,0.118996,0.932601,2097152,64,GeForce
Enqueue,0.00214,0.921183,1.75983,4194304,64,GeForce
Queue Add,0.002146,0.568804,1.75983,4194304,64,GeForce
Shutdown,0.002128,0.232083,1.75983,4194304,64,GeForce
Enqueue,0.002057,1.64955,2.95447,8388608,64,GeForce
Queue Add,0.002003,0.887794,2.95447,8388608,64,GeForce
Shutdown,0.001927,0.379993,2.95447,8388608,64,GeForce
Enqueue,0.002048,2.89813,5.15361,16777216,64,GeForce
