Event,MeanCGSubmissionTime(ms),MeanKernelExecTime(ms),MeanTotalExecTime(ms),VecSize,WorkGroupSize,GPU
Queue Add,0.001951,1.52763,5.15361,16777216,64,GeForce
Shutdown,0.001977,0.689683,5.15361,16777216,64,GeForce
Enqueue,0.001961,5.0799,9.29205,33554432,64,GeForce
Queue Add,0.001995,2.85724,9.29205,33554432,64,GeForce
Shutdown,0.001936,1.31703,9.29205,33554432,64,GeForce
Enqueue,0.002083,10.4408,18.797,67108864,64,GeForce
Queue Add,0.001981,5.67602,18.797,67108864,64,GeForce
Shutdown,0.001961,2.63983,18.797,67108864,64,GeForce
Enqueue,0.002034,20.5447,37.1735,134217728,64,GeForce
Queue Add,0.001993,11.281,37.1735,134217728,64,GeForce
Shutdown,0.001961,5.30492,37.1735,134217728,64,GeForce
Enqueue,0.002132,41.5042,75.8094,268435456,64,GeForce
Queue Add,0.002018,23.5655,75.8094,268435456,64,GeForce
Shutdown,0.002001,10.6859,75.8094,268435456,64,GeForce
Enqueue,0.001985,82.3123,148.57,536870912,64,GeForce
Queue Add,0.002148,44.7759,148.57,536870912,64,GeForce
Shutdown,0.001953,21.427,148.57,536870912,64,GeForce
Enqueue,0.002202,0.03702,3.68207,1024,128,GeForce
Queue Add,0.002201,0.004637,3.68207,1024,128,GeForce
Shutdown,0.002183,0.010303,3.68207,1024,128,GeForce
Enqueue,0.002154,0.025209,0.0817242,2048,128,GeForce
Queue Add,0.002114,0.004537,0.0817242,2048,128,GeForce
Shutdown,0.002115,0.010614,0.0817242,2048,128,GeForce
Enqueue,0.002132,0.025281,0.0844765,4096,128,GeForce
Queue Add,0.002147,0.005731,0.0844765,4096,128,GeForce
Shutdown,0.002125,0.010286,0.0844765,4096,128,GeForce
Enqueue,0.002132,0.026226,0.0877932,8192,128,GeForce
Queue Add,0.002198,0.008409,0.0877932,8192,128,GeForce
Shutdown,0.002116,0.010193,0.0877932,8192,128,GeForce
Enqueue,0.0021,0.029034,0.0912824,16384,128,GeForce
Queue Add,0.002077,0.009213,0.0912824,16384,128,GeForce
Shutdown,0.002099,0.010205,0.0912824,16384,128,GeForce
Enqueue,0.002198,0.03362,0.0904356,32768,128,GeForce
Queue Add,0.002079,0.010791,0.0904356,32768,128,GeForce
Shutdown,0.002121,0.010281,0.0904356,32768,128,GeForce
Enqueue,0.002129,0.039906,0.0992458,65536,128,GeForce
Queue Add,0.002146,0.013155,0.0992458,65536,128,GeForce
Shutdown,0.002195,0.010453,0.0992458,65536,128,GeForce
Enqueue,0.002134,0.066378,0.140769,131072,128,GeForce
Queue Add,0.00214,0.023145,0.140769,131072,128,GeForce
Shutdown,0.002158,0.016986,0.140769,131072,128,GeForce
Enqueue,0.002153,0.096322,0.204064,262144,128,GeForce
Queue Add,0.002117,0.044265,0.204064,262144,128,GeForce
Shutdown,0.002162,0.029614,0.204064,262144,128,GeForce
Enqueue,0.002176,0.146457,0.305782,524288,128,GeForce
Queue Add,0.002117,0.081479,0.305782,524288,128,GeForce
Shutdown,0.002178,0.043422,0.305782,524288,128,GeForce
Enqueue,0.002196,0.253476,0.51511,1048576,128,GeForce
Queue Add,0.002131,0.152226,0.51511,1048576,128,GeForce
Shutdown,0.002156,0.073687,0.51511,1048576,128,GeForce
Enqueue,0.002229,0.471301,0.942725,2097152,128,GeForce
Queue Add,0.0021,0.301901,0.942725,2097152,128,GeForce
Shutdown,0.002133,0.129292,0.942725,2097152,128,GeForce
Enqueue,0.002064,0.824073,1.60174,4194304,128,GeForce
Queue Add,0.00212,0.539044,1.60174,4194304,128,GeForce
Shutdown,0.001989,0.201798,1.60174,4194304,128,GeForce
Enqueue,0.001956,1.4192,2.68788,8388608,128,GeForce
Queue Add,0.001987,0.907735,2.68788,8388608,128,GeForce
Shutdown,0.001976,0.325348,2.68788,8388608,128,GeForce
Enqueue,0.002042,2.73223,4.92052,16777216,128,GeForce
Queue Add,0.001924,1.51882,4.92052,16777216,128,GeForce
Shutdown,0.001879,0.63354,4.92052,16777216,128,GeForce
Enqueue,0.002085,5.22956,9.32463,33554432,128,GeForce
Queue Add,0.002063,2.80852,9.32463,33554432,128,GeForce
Shutdown,0.002018,1.24509,9.32463,33554432,128,GeForce
Enqueue,0.00194,10.2326,18.3566,67108864,128,GeForce
Queue Add,0.002001,5.58796,18.3566,67108864,128,GeForce
Shutdown,0.002018,2.49359,18.3566,67108864,128,GeForce
Enqueue,0.00201,20.4147,36.558,134217728,128,GeForce
Queue Add,0.001953,11.1162,36.558,134217728,128,GeForce
Shutdown,0.002058,4.98169,36.558,134217728,128,GeForce
Enqueue,0.002132,40.7358,73.3047,268435456,128,GeForce
Queue Add,0.002099,22.4374,73.3047,268435456,128,GeForce
Shutdown,0.00205,10.0797,73.3047,268435456,128,GeForce
Enqueue,0.00205,81.059,146.255,536870912,128,GeForce
Queue Add,0.002018,45.0148,146.255,536870912,128,GeForce
Shutdown,0.001985,20.1275,146.255,536870912,128,GeForce
Enqueue,0.002235,0.050443,1.87414,1024,256,GeForce
Queue Add,0.002189,0.004644,1.87414,1024,256,GeForce
Shutdown,0.00217,0.016466,1.87414,1024,256,GeForce
Enqueue,0.002151,0.039344,0.0973375,2048,256,GeForce
Queue Add,0.002143,0.004512,0.0973375,2048,256,GeForce
Shutdown,0.002131,0.016439,0.0973375,2048,256,GeForce
Enqueue,0.002135,0.040832,0.103885,4096,256,GeForce
Queue Add,0.002142,0.005626,0.103885,4096,256,GeForce
Shutdown,0.002182,0.016478,0.103885,4096,256,GeForce
Enqueue,0.002126,0.041907,0.103542,8192,256,GeForce
Queue Add,0.002174,0.007899,0.103542,8192,256,GeForce
Shutdown,0.002137,0.016496,0.103542,8192,256,GeForce
Enqueue,0.002102,0.043898,0.104341,16384,256,GeForce
Queue Add,0.002139,0.010368,0.104341,16384,256,GeForce
Shutdown,0.002099,0.016597,0.104341,16384,256,GeForce
Enqueue,0.002256,0.046849,0.108774,32768,256,GeForce
Queue Add,0.002119,0.011688,0.108774,32768,256,GeForce
Shutdown,0.002126,0.01653,0.108774,32768,256,GeForce
Enqueue,0.002169,0.0535,0.117291,65536,256,GeForce
Queue Add,0.002127,0.013263,0.117291,65536,256,GeForce
Shutdown,0.00214,0.01679,0.117291,65536,256,GeForce
Enqueue,0.002188,0.090141,0.174666,131072,256,GeForce
Queue Add,0.002135,0.021116,0.174666,131072,256,GeForce
Shutdown,0.002181,0.029422,0.174666,131072,256,GeForce
Enqueue,0.002143,0.156316,0.28876,262144,256,GeForce
Queue Add,0.002173,0.044723,0.28876,262144,256,GeForce
Shutdown,0.002173,0.053777,0.28876,262144,256,GeForce
Enqueue,0.002169,0.259064,0.457026,524288,256,GeForce
Queue Add,0.002251,0.077302,0.457026,524288,256,GeForce
Shutdown,0.002223,0.085703,0.457026,524288,256,GeForce
Enqueue,0.002121,0.437731,0.766096,1048576,256,GeForce
Queue Add,0.002145,0.148077,0.766096,1048576,256,GeForce
Shutdown,0.002164,0.144351,0.766096,1048576,256,GeForce
Enqueue,0.002247,0.703566,1.25362,2097152,256,GeForce
Queue Add,0.002156,0.29923,1.25362,2097152,256,GeForce
Shutdown,0.002235,0.209029,1.25362,2097152,256,GeForce
Enqueue,0.002088,0.998254,1.84201,4194304,256,GeForce
Queue Add,0.002154,0.527481,1.84201,4194304,256,GeForce
Shutdown,0.00201,0.279288,1.84201,4194304,256,GeForce
Enqueue,0.001914,1.4529,2.78477,8388608,256,GeForce
Queue Add,0.002018,0.935799,2.78477,8388608,256,GeForce
Shutdown,0.00203,0.359913,2.78477,8388608,256,GeForce
Enqueue,0.001967,2.77673,4.96235,16777216,256,GeForce
Queue Add,0.001869,1.50089,4.96235,16777216,256,GeForce
Shutdown,0.001888,0.647808,4.96235,16777216,256,GeForce
Enqueue,0.002016,5.28759,9.33368,33554432,256,GeForce
Queue Add,0.001928,2.78964,9.33368,33554432,256,GeForce
Shutdown,0.001977,1.21619,9.33368,33554432,256,GeForce
Enqueue,0.002038,10.2589,19.1415,67108864,256,GeForce
Queue Add,0.002067,6.44927,19.1415,67108864,256,GeForce
Shutdown,0.001953,2.38932,19.1415,67108864,256,GeForce
Enqueue,0.002115,21.2743,37.3794,134217728,256,GeForce
Queue Add,0.001977,11.4044,37.3794,134217728,256,GeForce
Shutdown,0.002026,4.65939,37.3794,134217728,256,GeForce
Enqueue,0.002229,40.1925,72.6429,268435456,256,GeForce
Queue Add,0.001953,23.0499,72.6429,268435456,256,GeForce
Shutdown,0.002002,9.34964,72.6429,268435456,256,GeForce
Enqueue,0.002213,80.5487,142.787,536870912,256,GeForce
Queue Add,0.001953,43.6077,142.787,536870912,256,GeForce
Shutdown,0.001953,18.5582,142.787,536870912,256,GeForce
Enqueue,0.00221,0.079275,1.86767,1024,512,GeForce
Queue Add,0.002164,0.004619,1.86767,1024,512,GeForce
Shutdown,0.002199,0.0279,1.86767,1024,512,GeForce
Enqueue,0.002206,0.068021,0.137387,2048,512,GeForce
Queue Add,0.00209,0.004526,0.137387,2048,512,GeForce
Shutdown,0.002254,0.029076,0.137387,2048,512,GeForce
Enqueue,0.002229,0.069915,0.137682,4096,512,GeForce
Queue Add,0.002103,0.005799,0.137682,4096,512,GeForce
Shutdown,0.00218,0.028974,0.137682,4096,512,GeForce
Enqueue,0.002259,0.070342,0.140134,8192,512,GeForce
Queue Add,0.002188,0.00762,0.140134,8192,512,GeForce
Shutdown,0.002126,0.028894,0.140134,8192,512,GeForce
Enqueue,0.002251,0.072981,0.144667,16384,512,GeForce
Queue Add,0.002188,0.009121,0.144667,16384,512,GeForce
Shutdown,0.002298,0.028978,0.144667,16384,512,GeForce
Enqueue,0.002191,0.075244,0.149213,32768,512,GeForce
Queue Add,0.002143,0.011823,0.149213,32768,512,GeForce
Shutdown,0.002101,0.029025,0.149213,32768,512,GeForce
Enqueue,0.002475,0.080949,0.158146,65536,512,GeForce
Queue Add,0.00227,0.014443,0.158146,65536,512,GeForce
Shutdown,0.002144,0.029116,0.158146,65536,512,GeForce
Enqueue,0.002227,0.144222,0.251155,131072,512,GeForce
Queue Add,0.002179,0.019057,0.251155,131072,512,GeForce
Shutdown,0.002207,0.054307,0.251155,131072,512,GeForce
Enqueue,0.002109,0.266993,0.443111,262144,512,GeForce
Queue Add,0.00211,0.041154,0.443111,262144,512,GeForce
Shutdown,0.002166,0.101388,0.443111,262144,512,GeForce
Enqueue,0.002209,0.497523,0.801942,524288,512,GeForce
Queue Add,0.002134,0.072723,0.801942,524288,512,GeForce
Shutdown,0.002103,0.196676,0.801942,524288,512,GeForce
Enqueue,0.002169,0.92806,1.49695,1048576,512,GeForce
Queue Add,0.002073,0.143141,1.49695,1048576,512,GeForce
Shutdown,0.002143,0.386755,1.49695,1048576,512,GeForce
Enqueue,0.002257,1.79523,2.86689,2097152,512,GeForce
Queue Add,0.002087,0.29074,2.86689,2097152,512,GeForce
Shutdown,0.002174,0.742997,2.86689,2097152,512,GeForce
Enqueue,0.002024,1.97854,3.66231,4194304,512,GeForce
Queue Add,0.001973,0.578366,3.66231,4194304,512,GeForce
Shutdown,0.001968,1.06835,3.66231,4194304,512,GeForce
Enqueue,0.001928,2.68958,5.71168,8388608,512,GeForce
Queue Add,0.001965,0.858251,5.71168,8388608,512,GeForce
Shutdown,0.001959,2.12415,5.71168,8388608,512,GeForce
Enqueue,0.001955,3.64281,9.36399,16777216,512,GeForce
Queue Add,0.001957,1.4574,9.36399,16777216,512,GeForce
Shutdown,0.001975,4.22518,9.36399,16777216,512,GeForce
Enqueue,0.001904,6.23992,17.5177,33554432,512,GeForce
Queue Add,0.001977,2.83165,17.5177,33554432,512,GeForce
Shutdown,0.001908,8.4024,17.5177,33554432,512,GeForce
Enqueue,0.002099,11.5208,34.0263,67108864,512,GeForce
Queue Add,0.001871,5.50028,34.0263,67108864,512,GeForce
Shutdown,0.001855,16.9636,34.0263,67108864,512,GeForce
Enqueue,0.001969,22.106,68.462,134217728,512,GeForce
Queue Add,0.002002,12.4247,68.462,134217728,512,GeForce
Shutdown,0.00192,33.8837,68.462,134217728,512,GeForce
Enqueue,0.001985,41.3982,131.15,268435456,512,GeForce
Queue Add,0.001985,21.8225,131.15,268435456,512,GeForce
Shutdown,0.002018,67.8706,131.15,268435456,512,GeForce
Enqueue,0.001953,81.2542,263.366,536870912,512,GeForce
Queue Add,0.002148,46.3515,263.366,536870912,512,GeForce
Shutdown,0.001888,135.7,263.366,536870912,512,GeForce
Enqueue,0.002125,0.136986,0.336299,1024,1024,GeForce
Queue Add,0.00217,0.004742,0.336299,1024,1024,GeForce
Shutdown,0.002116,0.052035,0.336299,1024,1024,GeForce
Enqueue,0.002089,0.123864,0.217346,2048,1024,GeForce
Queue Add,0.002086,0.004768,0.217346,2048,1024,GeForce
Shutdown,0.00213,0.051927,0.217346,2048,1024,GeForce
Enqueue,0.002146,0.131475,0.224082,4096,1024,GeForce
Queue Add,0.002089,0.005948,0.224082,4096,1024,GeForce
Shutdown,0.002086,0.053843,0.224082,4096,1024,GeForce
Enqueue,0.002156,0.131779,0.22634,8192,1024,GeForce
Queue Add,0.00222,0.00758,0.22634,8192,1024,GeForce
Shutdown,0.002132,0.053742,0.22634,8192,1024,GeForce
Enqueue,0.002134,0.133829,0.230323,16384,1024,GeForce
Queue Add,0.002133,0.00919,0.230323,16384,1024,GeForce
Shutdown,0.002122,0.053844,0.230323,16384,1024,GeForce
Enqueue,0.002217,0.135382,0.233943,32768,1024,GeForce
Queue Add,0.002088,0.011602,0.233943,32768,1024,GeForce
Shutdown,0.002091,0.05381,0.233943,32768,1024,GeForce
Enqueue,0.002125,0.140035,0.242488,65536,1024,GeForce
Queue Add,0.002106,0.015046,0.242488,65536,1024,GeForce
Shutdown,0.002161,0.053796,0.242488,65536,1024,GeForce
Enqueue,0.002166,0.267676,0.425519,131072,1024,GeForce
Queue Add,0.002141,0.020422,0.425519,131072,1024,GeForce
Shutdown,0.002161,0.104017,0.425519,131072,1024,GeForce
Enqueue,0.002198,0.49364,0.769006,262144,1024,GeForce
Queue Add,0.002084,0.042016,0.769006,262144,1024,GeForce
Shutdown,0.002091,0.198632,0.769006,262144,1024,GeForce
Enqueue,0.002185,0.955651,1.44836,524288,1024,GeForce
Queue Add,0.002124,0.071579,1.44836,524288,1024,GeForce
Shutdown,0.002201,0.386535,1.44836,524288,1024,GeForce
Enqueue,0.002044,1.60221,2.42169,1048576,1024,GeForce
Queue Add,0.00207,0.141524,2.42169,1048576,1024,GeForce
Shutdown,0.002041,0.643234,2.42169,1048576,1024,GeForce
Enqueue,0.002027,2.68956,4.09447,2097152,1024,GeForce
Queue Add,0.001932,0.286074,4.09447,2097152,1024,GeForce
Shutdown,0.001921,1.08242,4.09447,2097152,1024,GeForce
Enqueue,0.001999,5.28663,7.99979,4194304,1024,GeForce
Queue Add,0.001838,0.549542,7.99979,4194304,1024,GeForce
Shutdown,0.001778,2.12767,7.99979,4194304,1024,GeForce
Enqueue,0.001843,10.4715,15.6842,8388608,1024,GeForce
Queue Add,0.001873,0.955041,15.6842,8388608,1024,GeForce
Shutdown,0.002005,4.21907,15.6842,8388608,1024,GeForce
Enqueue,0.002042,20.8634,30.9372,16777216,1024,GeForce
Queue Add,0.001924,1.62812,30.9372,16777216,1024,GeForce
Shutdown,0.001961,8.40198,30.9372,16777216,1024,GeForce
Enqueue,0.001977,41.6486,61.4078,33554432,1024,GeForce
Queue Add,0.001969,2.91742,61.4078,33554432,1024,GeForce
Shutdown,0.001944,16.8004,61.4078,33554432,1024,GeForce
Enqueue,0.002115,83.4217,123.19,67108864,1024,GeForce
Queue Add,0.001953,5.98151,123.19,67108864,1024,GeForce
Shutdown,0.002001,33.7334,123.19,67108864,1024,GeForce
Enqueue,0.00218,167.38,247.93,134217728,1024,GeForce
Queue Add,0.00192,12.7913,247.93,134217728,1024,GeForce
Shutdown,0.001887,67.7059,247.93,134217728,1024,GeForce
Enqueue,0.002083,335.493,493.116,268435456,1024,GeForce
Queue Add,0.002278,22.164,493.116,268435456,1024,GeForce
Shutdown,0.002083,135.398,493.116,268435456,1024,GeForce
Enqueue,0.002864,670.093,983.958,536870912,1024,GeForce
Queue Add,0.002213,42.9993,983.958,536870912,1024,GeForce
Shutdown,0.001562,270.787,983.958,536870912,1024,GeForce
