Event,CGSubmissionTime(ms),KernelExecTime(ms),TotalExecTime(ms),VectorSize
Simple Add,0.003071,0.650241,2.95349,10
Simple Add,0.004096,0.104447,0.285726,100
Simple Add,0.004096,0.123905,0.272039,1000
Simple Add,0.003071,0.347136,0.560426,10000
Simple Add,0.004096,1.28717,2.80135,100000
Simple Add,0.004095,6.55974,15.3349,1000000
Simple Add,0.004097,34.1565,119.132,10000000
Simple Add,0.00409,266.264,1077.35,100000000
