Event,ExecTime(ms),VectorSize,WorkGroupSize,Device
Enqueue Kernel Exec Time,39.5796,16777216,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,37.5912,16777216,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,10.8649,16777216,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,347.131,33554432,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,195.82,33554432,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,68.8598,33554432,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,64.2072,33554432,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,18.1394,33554432,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,679.938,67108864,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,399.61,67108864,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,125.809,67108864,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,121.27,67108864,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,33.0856,67108864,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,1323.98,134217728,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,750.663,134217728,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,248.971,134217728,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,258.011,134217728,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,66.2139,134217728,1024,NVIDIA GeForce RTX 2080 Ti
Total Exec Time,2643.69,268435456,1024,NVIDIA GeForce RTX 2080 Ti
Memory Setup Time,1492.02,268435456,1024,NVIDIA GeForce RTX 2080 Ti
Enqueue Kernel Exec Time,569.252,268435456,1024,NVIDIA GeForce RTX 2080 Ti
Add Kernel Exec Time,449.82,268435456,1024,NVIDIA GeForce RTX 2080 Ti
Shutdown Kernel Exec Time,132.403,268435456,1024,NVIDIA GeForce RTX 2080 Ti
